infinitiv	praes1	praes2	praes3	praes4	praes5	praes6	praet1	praet2	praet3	praet4	praet5	praet6	partizip2	imp_sg	imp_pl
weiterdenken	denke weiter	denkst weiter	denkt weiter	denken weiter	denkt weiter	denken weiter	dachte weiter	dachtest weiter	dachte weiter	dachten weiter	dachtet weiter	dachten weiter	weitergedacht	denke weiter	denkt weiter
weiterdrehen													weitergedreht	dreh weiter	dreht weiter
weiterdürfen	darf weiter	darfst weiter	darf weiter	dürfen weiter	dürft weiter	dürfen weiter	durfte weiter	durftest weiter	durfte weiter	durften weiter	durftet weiter	durften weiter	weitergedurft		
weitereilen	eile weiter	eilst weiter	eilt weiter	eilen weiter	eilt weiter	eilen weiter	eilte weiter	eiltest weiter	eilte weiter	eilten weiter	eiltet weiter	eilten weiter	weitergeeilt	eil weiter	eilt weiter
weiterempfehlen	empfehle weiter	empfiehlst weiter	empfiehlt weiter	empfehlen weiter	empfehlt weiter	empfehlen weiter	empfahl weiter	empfahlst weiter	empfahl weiter	empfahlen weiter	empfahlt weiter	empfahlen weiter	weiterempfohlen	empfiehl weiter	empfehlt weiter
weiterentwickeln	entwickle weiter	entwickelst weiter	entwickelt weiter	entwickeln weiter	entwickelt weiter	entwickeln weiter	entwickelte weiter	entwickeltest weiter	entwickelte weiter	entwickelten weiter	entwickeltet weiter	entwickelten weiter	weiterentwickelt	entwickle weiter	entwickelt weiter
weitererzählen	erzähle weiter	erzählst weiter	erzählt weiter	erzählen weiter	erzählt weiter	erzählen weiter	erzählte weiter	erzähltest weiter	erzählte weiter	erzählten weiter	erzähltet weiter	erzählten weiter	weitererzählt	erzähl weiter	erzählt weiter
weiteressen	esse weiter	isst weiter	isst weiter	essen weiter	esst weiter	essen weiter	aß weiter	aßest weiter	aß weiter	aßen weiter	aßt weiter	aßen weiter	weitergegessen	iss weiter	esst weiter
weiterexistieren	existiere weiter	existierst weiter	existiert weiter	existieren weiter	existiert weiter	existieren weiter	existierte weiter	existiertest weiter	existierte weiter	existierten weiter	existiertet weiter	existierten weiter	weiterexistiert	existier weiter	existiert weiter
weiterfahren	fahre weiter	fährst weiter	fährt weiter	fahren weiter	fahrt weiter	fahren weiter	fuhr weiter	fuhrst weiter	fuhr weiter	fuhren weiter	fuhrt weiter	fuhren weiter	weitergefahren	fahr weiter	fahrt weiter
