infinitiv	praes1	praes2	praes3	praes4	praes5	praes6	praet1	praet2	praet3	praet4	praet5	praet6	partizip2	imp_sg	imp_pl
aberziehen	erziehe ab	erziehst ab	erzieht ab	erziehen ab	erzieht ab	erziehen ab	erzog ab	erzogst ab	erzog ab	erzogen ab	erzogt ab	erzogen ab	aberzogen	erzieh ab	erzieht ab
abessen	esse ab	isst ab	isst ab	essen ab	esst ab	essen ab	aß ab	aßest ab	aß ab	aßen ab	aßt ab	aßen ab	abgegessen	iss ab	esst ab
abfackeln	fackle ab	fackelst ab	fackelt ab	fackeln ab	fackelt ab	fackeln ab	fackelte ab	fackeltest ab	fackelte ab	fackelten ab	fackeltet ab	fackelten ab	abgefackelt	fackele ab	fackelt ab
abfahren	fahre ab	fährst ab	fährt ab	fahren ab	fahrt ab	fahren ab	fuhr ab	fuhrst ab	fuhr ab	fuhren ab	fuhrt ab	fuhren ab	abgefahren	fahre ab	fahrt ab
abfallen	falle ab	fällst ab	fällt ab	fallen ab	fallt ab	fallen ab	fiel ab	fielst ab	fiel ab	fielen ab	fielt ab	fielen ab	abgefallen	fall ab	fallt ab
abfangen	fange ab	fängst ab	fängt ab	fangen ab	fangt ab	fangen ab	fing ab	fingst ab	fing ab	fingen ab	fingt ab	fingen ab	abgefangen	fange ab	fangt ab
abfasen	fase ab	fast ab	fast ab	fasen ab	fast ab	fasen ab	faste ab	fastest ab	faste ab	fasten ab	fastet ab	fasten ab	abgefast	fase ab	faset ab
abfassen	fasse ab	fasst ab	fasst ab	fassen ab	fasst ab	fassen ab	fasste ab	fasstest ab	fasste ab	fassten ab	fasstet ab	fassten ab	abgefasst	fass ab	fasst ab
abfaulen			fault ab			faulen ab			faulte ab			faulten ab	abgefault		
abfechten	fechte ab	fichtst ab	ficht ab	fechten ab	fechtet ab	fechten ab	focht ab	fochtest ab	focht ab	fochten ab	fochtet ab	fochten ab	abgefochten	ficht ab	fechtet ab
abfedern	feder ab	federst ab	federt ab	federn ab	federt ab	federn ab	federte ab	federtest ab	federte ab	federten ab	federtet ab	federten ab	abgefedert	feder ab	federt ab
abfegen	fege ab	fegst ab	fegt ab	fegen ab	fegt ab	fegen ab	fegte ab	fegtest ab	fegte ab	fegten ab	fegtet ab	fegten ab	abgefegt	fege ab	fegt ab
abfeiern	feier ab	feierst ab	feiert ab	feiern ab	feiert ab	feiern ab	feierte ab	feiertest ab	feierte ab	feierten ab	feiertet ab	feierten ab	abgefeiert	feier ab	feiert ab
abfeilen	feile ab	feilst ab	feilt ab	feilen ab	feilt ab	feilen ab	feilte ab	feiltest ab	feilte ab	feilten ab	feiltet ab	feilten ab	abgefeilt	feil ab	feilt ab
abfeilschen	feilsche ab	feilschst ab	feilscht ab	feilschen ab	feilscht ab	feilschen ab	feilschte ab	feilschtest ab	feilschte ab	feilschten ab	feilschtet ab	feilschten ab	abgefeilscht	feilsch ab	feilscht ab
abferkeln			ferkelt ab			ferkeln ab			ferkelte ab			ferkelten ab	abgeferkelt		
abfertigen	fertige ab	fertigst ab	fertigt ab	fertigen ab	fertigt ab	fertigen ab	fertigte ab	fertigtest ab	fertigte ab	fertigten ab	fertigtet ab	fertigten ab	abgefertigt	fertige ab	fertigt ab
abfetten	fette ab	fettest ab	fettet ab	fetten ab	fettet ab	fetten ab	fettete ab	fettetest ab	fettete ab	fetteten ab	fettetet ab	fetteten ab	abgefettet	fett ab	fettet ab
abfetzen	fetze ab	fetzt ab	fetzt ab	fetzen ab	fetzt ab	fetzen ab	fetzte ab	fetztest ab	fetzte ab	fetzten ab	fetztet ab	fetzten ab	abgefetzt	fetz ab	fetzt ab
abfeuern	feuer ab	feuerst ab	feuert ab	feuern ab	feuert ab	feuern ab	feuerte ab	feuertest ab	feuerte ab	feuerten ab	feuertet ab	feuerten ab	abgefeuert	feuere ab	feuert ab
abfiebern	fieber ab	fieberst ab	fiebert ab	fiebern ab	fiebert ab	fiebern ab	fieberte ab	fiebertest ab	fieberte ab	fieberten ab	fiebertet ab	fieberten ab	abgefiebert	fieber ab	fiebert ab
abfiedeln	fiedle ab	fiedelst ab	fiedelt ab	fiedeln ab	fiedelt ab	fiedeln ab	fiedelte ab	fiedeltest ab	fiedelte ab	fiedelten ab	fiedeltet ab	fiedelten ab	abgefiedelt	fiedel ab	fiedelt ab
abfieren	fiere ab	fierst ab	fiert ab	fieren ab	fiert ab	fieren ab	fierte ab	fiertest ab	fierte ab	fierten ab	fiertet ab	fierten ab	abgefiert	fier ab	fiert ab
abfieseln	fiesle ab	fieselst ab	fieselt ab	fieseln ab	fieselt ab	fieseln ab	fieselte ab	fieseltest ab	fieselte ab	fieselten ab	fieseltet ab	fieselten ab	abgefieselt	fiesle ab	fieselt ab
abfilmen	film ab	filmst ab	filmt ab	filmen ab	filmt ab	filmen ab	filmte ab	filmtest ab	filmte ab	filmten ab	filmtet ab	filmten ab	abgefilmt	film ab	filmt ab
abfiltern	filter ab	filterst ab	filtert ab	filtern ab	filtert ab	filtern ab	filterte ab	filtertest ab	filterte ab	filterten ab	filtertet ab	filterten ab	abgefiltert	filter ab	filtert ab
abfiltrieren	filtriere ab	filtrierst ab	filtriert ab	filtrieren ab	filtriert ab	filtrieren ab	filtrierte ab	filtriertest ab	filtrierte ab	filtrierten ab	filtriertet ab	filtrierten ab	abfiltriert	filtrier ab	filtriert ab
abfinden	finde ab	findest ab	findet ab	finden ab	findet ab	finden ab	fand ab	fandest ab	fand ab	fanden ab	fandet ab	fanden ab	abgefunden	finde ab	findet ab
abfingern	finger ab	fingerst ab	fingert ab	fingern ab	fingert ab	fingern ab	fingerte ab	fingertest ab	fingerte ab	fingerten ab	fingertet ab	fingerten ab	abgefingert	fingere ab	fingert ab
abfischen	fische ab	fischst ab	fischt ab	fischen ab	fischt ab	fischen ab	fischte ab	fischtest ab	fischte ab	fischten ab	fischtet ab	fischten ab	abgefischt	fisch ab	fischt ab
abflachen	flache ab	flachst ab	flacht ab	flachen ab	flacht ab	flachen ab	flachte ab	flachtest ab	flachte ab	flachten ab	flachtet ab	flachten ab	abgeflacht	flache ab	flacht ab
abflammen	flamm ab	flammst ab	flammt ab	flammen ab	flammt ab	flammen ab	flammte ab	flammtest ab	flammte ab	flammten ab	flammtet ab	flammten ab	abgeflammt	flamm ab	flammt ab
abflanken	flanke ab	flankst ab	flankt ab	flanken ab	flankt ab	flanken ab	flankte ab	flanktest ab	flankte ab	flankten ab	flanktet ab	flankten ab	abgeflankt	flank ab	flankt ab
abflauen			flaut ab			flauen ab			flaute ab			flauten ab	abgeflaut		
abfliegen	fliege ab	fliegst ab	fliegt ab	fliegen ab	fliegt ab	fliegen ab	flog ab	flogst ab	flog ab	flogen ab	flogt ab	flogen ab	abgeflogen	fliege ab	fliegt ab
abfließen	fließe ab	fließt ab	fließt ab	fließen ab	fließt ab	fließen ab	floss ab	flossest ab	floss ab	flossen ab	flosst ab	flossen ab	abgeflossen	fließe ab	fließt ab
abfluten			flutet ab			fluten ab			flutete ab			fluteten ab	abgeflutet	–	–
abflämmen	flämm ab	flämmst ab	flämmt ab	flämmen ab	flämmt ab	flämmen ab	flämmte ab	flämmtest ab	flämmte ab	flämmten ab	flämmtet ab	flämmten ab	abgeflämmt	flämm ab	flämmt ab
abflößen	flöße ab	flößt ab	flößt ab	flößen ab	flößt ab	flößen ab	flößte ab	flößtest ab	flößte ab	flößten ab	flößtet ab	flößten ab	abgeflößt	flöß ab	flößt ab
abfohlen			fohlt ab			fohlen ab			fohlte ab			fohlten ab	abgefohlt		
abfordern	forder ab	forderst ab	fordert ab	fordern ab	fordert ab	fordern ab	forderte ab	fordertest ab	forderte ab	forderten ab	fordertet ab	forderten ab	abgefordert	forder ab	fordert ab
abformen	form ab	formst ab	formt ab	formen ab	formt ab	formen ab	formte ab	formtest ab	formte ab	formten ab	formtet ab	formten ab	abgeformt	form ab	formt ab
abforsten	forste ab	forstest ab	forstet ab	forsten ab	forstet ab	forsten ab	forstete ab	forstetest ab	forstete ab	forsteten ab	forstetet ab	forsteten ab	abgeforstet	forst ab	forstet ab
abfotografieren	fotografiere ab	fotografierst ab	fotografiert ab	fotografieren ab	fotografiert ab	fotografieren ab	fotografierte ab	fotografiertest ab	fotografierte ab	fotografierten ab	fotografiertet ab	fotografierten ab	abfotografiert	fotografiere ab	fotografiert ab
abfragen	frage ab	fragst ab	fragt ab	fragen ab	fragt ab	fragen ab	fragte ab	fragtest ab	fragte ab	fragten ab	fragtet ab	fragten ab	abgefragt	frage ab	fragt ab
abfressen	fresse ab	frisst ab	frisst ab	fressen ab	fresst ab	fressen ab	fraß ab	fraßest ab	fraß ab	fraßen ab	fraßt ab	fraßen ab	abgefressen	friss ab	fresst ab
abfretten	frette mich ab	frettest dich ab	frettet sich ab	fretten uns ab	frettet euch ab	fretten sich ab	frettete mich ab	frettetest dich ab	frettete sich ab	fretteten uns ab	frettetet euch ab	fretteten sich ab	abgefrettet	frette ab	frettet ab
abfrieren	friere ab	frierst ab	friert ab	frieren ab	friert ab	frieren ab	fror ab	frorst ab	fror ab	froren ab	frort ab	froren ab	abgefroren	frier ab	friert ab
abfrottieren	frottiere ab	frottierst ab	frottiert ab	frottieren ab	frottiert ab	frottieren ab	frottierte ab	frottiertest ab	frottierte ab	frottierten ab	frottiertet ab	frottierten ab	abfrottiert	frottier ab	frottiert ab
abfräsen	fräse ab	fräst ab	fräst ab	fräsen ab	fräst ab	fräsen ab	fräste ab	frästest ab	fräste ab	frästen ab	frästet ab	frästen ab	abgefräst	fräs ab	fräst ab
abfrühstücken	frühstücke ab	frühstückst ab	frühstückt ab	frühstücken ab	frühstückt ab	frühstücken ab	frühstückte ab	frühstücktest ab	frühstückte ab	frühstückten ab	frühstücktet ab	frühstückten ab	abgefrühstückt	frühstücke ab	frühstückt ab
abfädeln	fädle ab	fädelst ab	fädelt ab	fädeln ab	fädelt ab	fädeln ab	fädelte ab	fädeltest ab	fädelte ab	fädelten ab	fädeltet ab	fädelten ab	abgefädelt	fädel ab	fädelt ab
abfälschen	fälsche ab	fälschst ab	fälscht ab	fälschen ab	fälscht ab	fälschen ab	fälschte ab	fälschtest ab	fälschte ab	fälschten ab	fälschtet ab	fälschten ab	abgefälscht	fälsche ab	fälscht ab
abfärben	färbe ab	färbst ab	färbt ab	färben ab	färbt ab	färben ab	färbte ab	färbtest ab	färbte ab	färbten ab	färbtet ab	färbten ab	abgefärbt	färbe ab	färbt ab
abfühlen	fühle ab	fühlst ab	fühlt ab	fühlen ab	fühlt ab	fühlen ab	fühlte ab	fühltest ab	fühlte ab	fühlten ab	fühltet ab	fühlten ab	abgefühlt	fühl ab	fühlt ab
abführen	führe ab	führst ab	führt ab	führen ab	führt ab	führen ab	führte ab	führtest ab	führte ab	führten ab	führtet ab	führten ab	abgeführt	führ ab	führt ab
abfüllen	fülle ab	füllst ab	füllt ab	füllen ab	füllt ab	füllen ab	füllte ab	fülltest ab	füllte ab	füllten ab	fülltet ab	füllten ab	abgefüllt	füll ab	füllt ab
abfüttern	fütter ab	fütterst ab	füttert ab	füttern ab	füttert ab	füttern ab	fütterte ab	füttertest ab	fütterte ab	fütterten ab	füttertet ab	fütterten ab	abgefüttert	fütter ab	füttert ab
abgabeln	gable ab	gabelst ab	gabelt ab	gabeln ab	gabelt ab	gabeln ab	gabelte ab	gabeltest ab	gabelte ab	gabelten ab	gabeltet ab	gabelten ab	abgegabelt	gable ab	gabelt ab
abgaunern	gauner ab	gaunerst ab	gaunert ab	gaunern ab	gaunert ab	gaunern ab	gaunerte ab	gaunertest ab	gaunerte ab	gaunerten ab	gaunertet ab	gaunerten ab	abgegaunert	gauner ab	gaunert ab
abgeben	gebe ab	gibst ab	gibt ab	geben ab	gebt ab	geben ab	gab ab	gabst ab	gab ab	gaben ab	gabt ab	gaben ab	abgegeben	gib ab	gebt ab
abgehen	gehe ab	gehst ab	geht ab	gehen ab	geht ab	gehen ab	ging ab	gingst ab	ging ab	gingen ab	gingt ab	gingen ab	abgegangen	geh ab	geht ab
abgelten	gelte ab	giltst ab	gilt ab	gelten ab	geltet ab	gelten ab	galt ab	galtest ab	galt ab	galten ab	galtet ab	galten ab	abgegolten	gilt ab	geltet ab
abgenicken	genicke ab	genickst ab	genickt ab	genicken ab	genickt ab	genicken ab	genickte ab	genicktest ab	genickte ab	genickten ab	genicktet ab	genickten ab	abgenickt	genicke ab	genickt ab
abgenzern	genzer ab	genzerst ab	genzert ab	genzern ab	genzert ab	genzern ab	genzerte ab	genzertest ab	genzerte ab	genzerten ab	genzertet ab	genzerten ab	abgegenzert	genzer ab	genzert ab
abgeraten	gerate ab	gerätst ab	gerät ab	geraten ab	geratet ab	geraten ab	geriet ab	gerietest ab	geriet ab	gerieten ab	gerietet ab	gerieten ab	abgeraten	gerate ab	geratet ab
abgewinnen	gewinne ab	gewinnst ab	gewinnt ab	gewinnen ab	gewinnt ab	gewinnen ab	gewann ab	gewannst ab	gewann ab	gewannen ab	gewannt ab	gewannen ab	abgewonnen	gewinn ab	gewinnt ab
abgewöhnen	gewöhn ab	gewöhnst ab	gewöhnt ab	gewöhnen ab	gewöhnt ab	gewöhnen ab	gewöhnte ab	gewöhntest ab	gewöhnte ab	gewöhnten ab	gewöhntet ab	gewöhnten ab	abgewöhnt	gewöhn ab	gewöhnt ab
abgießen	gieße ab	gießt ab	gießt ab	gießen ab	gießt ab	gießen ab	goss ab	gossest ab	goss ab	gossen ab	gosst ab	gossen ab	abgegossen	gieß ab	gießt ab
abgleichen	gleiche ab	gleichst ab	gleicht ab	gleichen ab	gleicht ab	gleichen ab	glich ab	glichst ab	glich ab	glichen ab	glicht ab	glichen ab	abgeglichen	gleiche ab	gleicht ab
abgleiten	gleite ab	gleitest ab	gleitet ab	gleiten ab	gleitet ab	gleiten ab	glitt ab	glittest ab	glitt ab	glitten ab	glittet ab	glitten ab	abgeglitten	gleit ab	gleitet ab
abgrasen	grase ab	grast ab	grast ab	grasen ab	grast ab	grasen ab	graste ab	grastest ab	graste ab	grasten ab	grastet ab	grasten ab	abgegrast	gras ab	grast ab
abgreifen	greife ab	greifst ab	greift ab	greifen ab	greift ab	greifen ab	griff ab	griffst ab	griff ab	griffen ab	grifft ab	griffen ab	abgegriffen	greif ab	greift ab
abgrenzen	grenze ab	grenzt ab	grenzt ab	grenzen ab	grenzt ab	grenzen ab	grenzte ab	grenztest ab	grenzte ab	grenzten ab	grenztet ab	grenzten ab	abgegrenzt	grenze ab	grenzt ab
abgruppieren	gruppiere ab	gruppierst ab	gruppiert ab	gruppieren ab	gruppiert ab	gruppieren ab	gruppierte ab	gruppiertest ab	gruppierte ab	gruppierten ab	gruppiertet ab	gruppierten ab	abgruppiert	gruppier ab	gruppiert ab
abgräbeln	gräble ab	gräbelst ab	gräbelt ab	gräbeln ab	gräbelt ab	gräbeln ab	gräbelte ab	gräbeltest ab	gräbelte ab	gräbelten ab	gräbeltet ab	gräbelten ab	abgegräbelt	gräbele ab	gräbelt ab
abgrätschen	grätsche ab	grätschst ab	grätscht ab	grätschen ab	grätscht ab	grätschen ab	grätschte ab	grätschtest ab	grätschte ab	grätschten ab	grätschtet ab	grätschten ab	abgegrätscht	grätsch ab	grätscht ab
abgären			gärt ab			gären ab			gärte ab			gärten ab	abgegärt		
abhacken	hacke ab	hackst ab	hackt ab	hacken ab	hackt ab	hacken ab	hackte ab	hacktest ab	hackte ab	hackten ab	hacktet ab	hackten ab	abgehackt	hacke ab	hackt ab
abhaken	hake ab	hakst ab	hakt ab	haken ab	hakt ab	haken ab	hakte ab	haktest ab	hakte ab	hakten ab	haktet ab	hakten ab	abgehakt	hak ab	hakt ab
abhalftern	halfter ab	halfterst ab	halftert ab	halftern ab	halftert ab	halftern ab	halfterte ab	halftertest ab	halfterte ab	halfterten ab	halftertet ab	halfterten ab	abgehalftert	halfter ab	halftert ab
abhalsen	halse ab	halst ab	halst ab	halsen ab	halst ab	halsen ab	halste ab	halstest ab	halste ab	halsten ab	halstet ab	halsten ab	abgehalst	hals ab	halst ab
abhalten	halte ab	hältst ab	hält ab	halten ab	haltet ab	halten ab	hielt ab	hieltest ab	hielt ab	hielten ab	hieltet ab	hielten ab	abgehalten	halte ab	haltet ab
abhandeln	handle ab	handelst ab	handelt ab	handeln ab	handelt ab	handeln ab	handelte ab	handeltest ab	handelte ab	handelten ab	handeltet ab	handelten ab	abgehandelt	handel ab	handelt ab
abhandenkommen	komme abhanden	kommst abhanden	kommt abhanden	kommen abhanden	kommt abhanden	kommen abhanden	kam abhanden	kamst abhanden	kam abhanden	kamen abhanden	kamt abhanden	kamen abhanden	abhandengekommen	komme abhanden	kommt abhanden
abhauen	haue ab	haust ab	haut ab	hauen ab	haut ab	hauen ab	haute ab	hautest ab	haute ab	hauten ab	hautet ab	hauten ab	abgehauen	hau ab	haut ab
abheben	hebe ab	hebst ab	hebt ab	heben ab	hebt ab	heben ab	hob ab	hobst ab	hob ab	hoben ab	hobt ab	hoben ab	abgehoben	heb ab	hebt ab
abheften	hefte ab	heftest ab	heftet ab	heften ab	heftet ab	heften ab	heftete ab	heftetest ab	heftete ab	hefteten ab	heftetet ab	hefteten ab	abgeheftet	hefte ab	heftet ab
abheilen			heilt ab			heilen ab			heilte ab			heilten ab	abgeheilt		
abhelfen	helfe ab	hilfst ab	hilft ab	helfen ab	helft ab	helfen ab	half ab	halfst ab	half ab	halfen ab	halft ab	halfen ab	abgeholfen	hilf ab	helft ab
abherbeuteln													abhergebeutelt	beutele abher	beutelt abher
abhersagen													abhergesagt	sage abher	sagt abher
abhertun													abhergetan	tu abher	tut abher
abhetzen	hetze ab	hetzt ab	hetzt ab	hetzen ab	hetzt ab	hetzen ab	hetzte ab	hetztest ab	hetzte ab	hetzten ab	hetztet ab	hetzten ab	abgehetzt	hetze ab	hetzt ab
abhinfallen													abhingefallen	falle abhin	fallt abhin
abhingehen	gehe abhin	gehst abhin	geht abhin	gehen abhin	geht abhin	gehen abhin	ging abhin	gingst abhin	ging abhin	gingen abhin	gingt abhin	gingen abhin	abhingegangen	geh abhin	geht abhin
abhinrutschen													abhingerutscht	rutsche abhin	rutscht abhin
abhinschweiben													abhingeschweibt	schweibe abhin	schweibt abhin
abhintun													abhingetan	tue abhin	tut abhin
abhobeln	hoble ab	hobelst ab	hobelt ab	hobeln ab	hobelt ab	hobeln ab	hobelte ab	hobeltest ab	hobelte ab	hobelten ab	hobeltet ab	hobelten ab	abgehobelt	hobele ab	hobelt ab
abholen	hole ab	holst ab	holt ab	holen ab	holt ab	holen ab	holte ab	holtest ab	holte ab	holten ab	holtet ab	holten ab	abgeholt	hole ab	holt ab
abholzen	holze ab	holzt ab	holzt ab	holzen ab	holzt ab	holzen ab	holzte ab	holztest ab	holzte ab	holzten ab	holztet ab	holzten ab	abgeholzt	holze ab	holzt ab
abhorchen	horche ab	horchst ab	horcht ab	horchen ab	horcht ab	horchen ab	horchte ab	horchtest ab	horchte ab	horchten ab	horchtet ab	horchten ab	abgehorcht	horch ab	horcht ab
abhorreszieren	abhorresziere	abhorreszierst	abhorresziert	abhorreszieren	abhorresziert	abhorreszieren	abhorreszierte	abhorresziertest	abhorreszierte	abhorreszierten	abhorresziertet	abhorreszierten	abhorresziert	abhorresziere	abhorresziert
abhorrieren	abhorriere	abhorrierst	abhorriert	abhorrieren	abhorriert	abhorrieren	abhorrierte	abhorriertest	abhorrierte	abhorrierten	abhorriertet	abhorrierten	abhorriert	abhorriere	abhorriert
abhotten	hotte ab	hottest ab	hottet ab	hotten ab	hottet ab	hotten ab	hottete ab	hottetest ab	hottete ab	hotteten ab	hottetet ab	hotteten ab	abgehottet	hott ab	hottet ab
abhungern	hunger ab	hungerst ab	hungert ab	hungern ab	hungert ab	hungern ab	hungerte ab	hungertest ab	hungerte ab	hungerten ab	hungertet ab	hungerten ab	abgehungert	hunger ab	hungert ab
abhusten	huste ab	hustest ab	hustet ab	husten ab	hustet ab	husten ab	hustete ab	hustetest ab	hustete ab	husteten ab	hustetet ab	husteten ab	abgehustet	huste ab	hustet ab
abhängen	hänge ab	hängst ab	hängt ab	hängen ab	hängt ab	hängen ab	hing ab	hingst ab	hing ab	hingen ab	hingt ab	hingen ab	abgehangen	häng ab	hängt ab
abhären	häre ab	härst ab	härt ab	hären ab	härt ab	hären ab	härte ab	härtest ab	härte ab	härten ab	härtet ab	härten ab	abgehärt	häre ab	härt ab
abhärten	härte ab	härtest ab	härtet ab	härten ab	härtet ab	härten ab	härtete ab	härtetest ab	härtete ab	härteten ab	härtetet ab	härteten ab	abgehärtet	härt ab	härtet ab
abhäuten	häute ab	häutest ab	häutet ab	häuten ab	häutet ab	häuten ab	häutete ab	häutetest ab	häutete ab	häuteten ab	häutetet ab	häuteten ab	abgehäutet	häut ab	häutet ab
abhören	höre ab	hörst ab	hört ab	hören ab	hört ab	hören ab	hörte ab	hörtest ab	hörte ab	hörten ab	hörtet ab	hörten ab	abgehört	hör ab	hört ab
abisolieren	isoliere ab	isolierst ab	isoliert ab	isolieren ab	isoliert ab	isolieren ab	isolierte ab	isoliertest ab	isolierte ab	isolierten ab	isoliertet ab	isolierten ab	abisoliert	isolier ab	isoliert ab
abjagen	jage ab	jagst ab	jagt ab	jagen ab	jagt ab	jagen ab	jagte ab	jagtest ab	jagte ab	jagten ab	jagtet ab	jagten ab	abgejagt	jag ab	jagt ab
abjudizieren	abjudiziere	abjudizierst	abjudiziert	abjudizieren	abjudiziert	abjudizieren	abjudizierte	abjudiziertest	abjudizierte	abjudizierten	abjudiziertet	abjudizierten	abjudiziert	abjudizier	abjudiziert
abjurieren	abjuriere	abjurierst	abjuriert	abjurieren	abjuriert	abjurieren	abjurierte	abjuriertest	abjurierte	abjurierten	abjuriertet	abjurierten	abjuriert	abjurier	abjuriert
abjustieren	justiere ab	justierst ab	justiert ab	justieren ab	justiert ab	justieren ab	justierte ab	justiertest ab	justierte ab	justierten ab	justiertet ab	justierten ab	abjustiert	justier ab	justiert ab
abkacken	kacke ab	kackst ab	kackt ab	kacken ab	kackt ab	kacken ab	kackte ab	kacktest ab	kackte ab	kackten ab	kacktet ab	kackten ab	abgekackt	kack ab	kackt ab
abkanzeln	kanzle ab	kanzelst ab	kanzelt ab	kanzeln ab	kanzelt ab	kanzeln ab	kanzelte ab	kanzeltest ab	kanzelte ab	kanzelten ab	kanzeltet ab	kanzelten ab	abgekanzelt	kanzel ab	kanzelt ab
abkapiteln	kapitle ab	kapitelst ab	kapitelt ab	kapiteln ab	kapitelt ab	kapiteln ab	kapitelte ab	kapiteltest ab	kapitelte ab	kapitelten ab	kapiteltet ab	kapitelten ab	abkapitelt	kapitele ab	kapitelt ab
abkapseln	kapsle ab	kapselst ab	kapselt ab	kapseln ab	kapselt ab	kapseln ab	kapselte ab	kapseltest ab	kapselte ab	kapselten ab	kapseltet ab	kapselten ab	abgekapselt	kapsel ab	kapselt ab
abkargen													abgekargt	karg ab	kargt ab
abkarten	karte ab	kartest ab	kartet ab	karten ab	kartet ab	karten ab	kartete ab	kartetest ab	kartete ab	karteten ab	kartetet ab	karteten ab	abgekartet	kart ab	kartet ab
abkassieren	kassiere ab	kassierst ab	kassiert ab	kassieren ab	kassiert ab	kassieren ab	kassierte ab	kassiertest ab	kassierte ab	kassierten ab	kassiertet ab	kassierten ab	abkassiert	kassier ab	kassiert ab
abkauen	kaue ab	kaust ab	kaut ab	kauen ab	kaut ab	kauen ab	kaute ab	kautest ab	kaute ab	kauten ab	kautet ab	kauten ab	abgekaut	kau ab	kauet ab
